hsr_value,code,product_name,brands,categories,categories_tags,labels,labels_tags,countries,nutriscore_grade,nova_group,energy-kj_100g,energy_100g,carbohydrates_100g,sugars_100g,fat_100g,saturated-fat_100g,proteins_100g,fiber_100g,salt_100g,sodium_100g,energy_kj_100g,sugar_energy_ratio,category_primary
0.5,9310072000282,TimTam (Original),Arnotts,"Snacks,Sweet snacks,Biscuits and cakes,Biscuits,Cakes,Chocolate biscuits,Milk chocolate biscuits",en:snacks|en:sweet-snacks|en:biscuits-and-cakes|en:biscuits-and-crackers|en:biscuits|en:cakes|en:chocolate-biscuits|en:milk-chocolate-biscuits,"Australian made,Health Star Rating,Health Star Rating 0.5",en:australian-made|en:health-star-rating|en:health-star-rating-0-5,"Australia,France,New Caledonia,New Zealand",e,4.0,,2190.0,65.0,45.9,26.8,15.3,4.37,1.64,0.395,0.158,2190.0,0.02095890410958904,snacks
0.5,9300675001410,Coca-Cola 375 mL,Coca-Cola,"Beverages, Carbonated drinks, Sodas, Colas, Soft-drink",en:beverages|en:carbonated-drinks|en:sodas|en:colas|en:soft-drink,"Fabriqué en Australie, Health Star Rating 0.5",en:health-star-rating|en:health-star-rating-0-5|en:fabrique-en-australie,Australie,e,4.0,,180.0,10.7,10.7,0.0,,0.0,,0.0253,0.0101,180.0,0.05944444444444444,beverages
0.5,9310072013855,Arnotts Tim Tam Double Chocolate Biscuits,Arnotts,"Snacks,Sweet snacks,Biscuits and cakes,Biscuits,Chocolate biscuits",en:snacks|en:sweet-snacks|en:biscuits-and-cakes|en:biscuits|en:chocolate-biscuits,"Australian made,Health Star Rating,Health Star Rating 0.5,Verified",en:australian-made|en:health-star-rating|en:health-star-rating-0-5|en:verified,"Australia,France,French Polynesia,New Zealand",e,4.0,,2190.0,63.8,48.0,28.1,15.8,4.98,1.81,0.385,0.154,2190.0,0.021917808219178082,snacks
0.5,8850124025685,Coffre mate,Nestle,"Plant-based foods and beverages,Plant-based foods,Coffees,milk powder,Milk powders",en:beverages-and-beverages-preparations|en:plant-based-foods-and-beverages|en:beverages|en:dairies|en:plant-based-foods|en:milks-liquid-and-powder|en:dried-products|en:dried-products-to-be-rehydrated|en:coffees|en:dehydrated-beverages|en:milk-powders,Health Star Rating 0.5,en:health-star-rating|en:health-star-rating-0-5,Australia,unknown,4.0,,2300.0,57.1,8.8,34.9,32.0,1.28,,0.65,0.26,2300.0,0.0038260869565217392,beverages-and-beverages-preparations
0.5,9310072001210,Arnotts Tim Tam Chewy Caramel,ARNOTTS,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits and crackers, Biscuits, Chocolate biscuits, fr:Biscuits au chocolat caramel, en:chocolate-candies",en:snacks|en:sweet-snacks|en:biscuits-and-cakes|en:biscuits-and-crackers|en:cocoa-and-its-products|en:confectioneries|en:biscuits|en:chocolate-candies|en:chocolate-biscuits|fr:biscuits-au-chocolat-caramel,"Health Star Rating, Health Star Rating 0.5, en:australian-made",en:australian-made|en:health-star-rating|en:health-star-rating-0-5,"ประเทศออสเตรเลีย,ประเทศฝรั่งเศส,ประเทศนิวซีแลนด์",e,4.0,,2050.0,64.6,46.0,23.4,13.5,4.3,1.6,0.3925,0.157,2050.0,0.0224390243902439,snacks
0.5,9310072027456,Tim Tams,Arnott's,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits, Chocolate biscuits",en:snacks|en:sweet-snacks|en:biscuits-and-cakes|en:biscuits|en:chocolate-biscuits,"Sustainable, Sustainable Palm Oil, Australian made, No palm oil, en:health-star-rating-0-5",en:sustainable|en:sustainable-palm-oil|en:australian-made|en:health-star-rating|en:health-star-rating-0-5|en:no-palm-oil,Australia,e,4.0,2180.0,2180.0,64.5,44.8,26.8,14.8,4.37,1.64,0.396,0.158,2180.0,0.02055045871559633,snacks
0.5,9310072010816,Tim Tam Original family pack,Arnott's,"Snacks,Sweet snacks,Biscuits and cakes,Biscuits,Chocolate biscuits",en:snacks|en:sweet-snacks|en:biscuits-and-cakes|en:biscuits|en:chocolate-biscuits,"Health Star Rating,Health Star Rating 0.5",en:health-star-rating|en:health-star-rating-0-5,"Australia,New Zealand,Spain",e,4.0,,2190.0,65.0,45.9,26.8,15.3,4.37,1.64,0.396,0.158,2190.0,0.02095890410958904,snacks
0.5,9300633999285,Lemonade,Woolworths,"Beverages, Carbonated drinks, Sodas, Lemonade, Sweetened beverages",en:beverages|en:carbonated-drinks|en:sodas|en:lemonade|en:sweetened-beverages,"Health Star Rating, Health Star Rating 0.5",en:health-star-rating|en:health-star-rating-0-5,Australia,e,4.0,167.0,167.0,9.8,9.8,0.0,0.0,0.0,,0.0275,0.011,167.0,0.058682634730538925,beverages
0.5,9339687214884,Salted butter,Woolworths Essentials,"Dairies, Fats, Spreads, Spreadable fats, Animal fats, Milkfat, Dairy-spread, Butters, Salted butters",en:dairies|en:fats|en:spreads|en:spreadable-fats|en:animal-fats|en:dairy-spreads|en:milkfat|en:butters|en:salted-butters,Health Star Rating 0.5,en:health-star-rating|en:health-star-rating-0-5,Australia,c,2.0,3054.0,3054.0,1.0,1.0,4.1,2.7,1.0,0.0,0.07,0.028,3054.0,0.0003274394237066143,dairies
0.5,9310072013312,Arn Mint slice family pack,Arnott's,,,"Australian made,Health Star Rating,Health Star Rating 0.5",en:australian-made|en:health-star-rating|en:health-star-rating-0-5,"Australia,New Zealand",unknown,4.0,,2210.0,61.7,43.5,29.2,16.2,3.25,3.9,0.308,0.123,2210.0,0.019683257918552036,
